1	1	1	The Creation of the World
1	2	4	The Creation of Mankind
1	3	1	The Temptation of Mankind
1	3	6	The Fall of Mankind
1	3	8	The Judgment of Mankind
1	4	1	Cain Slays His Brother Abel
1	4	16	The Wicked Lineage of Cain
1	4	25	The Godly Lineage of Seth
1	6	1	The Multiplication of the Wicked
1	6	5	The Wicked Sin Continually
1	6	6	The Wicked to be Destroyed
1	6	8	God Makes Provision for the Righteous
1	7	1	God Commands Noah to Enter the Ark
1	7	11	The Earth is Flooded
1	8	1	The Waters Dry Up
1	8	20	Noah Worships God
1	9	1	God's Covenant with Noah
1	9	18	The Sons of Noah
1	9	20	The Sin of Ham
1	9	25	The Curse on Canaan
1	9	28	The Death of Noah
1	10	1	The Generations of Japheth
1	10	6	The Generations of Ham
1	10	15	The Generations of Canaan
1	10	21	The Generations of Shem
1	11	1	Building of the Tower
1	11	4	The Rebellion at the Tower
1	11	5	Judgment on All the Generations
1	11	10	The Generations of Abram
1	11	27	The History of Abram
1	12	1	God's Covenant with Abram
1	13	1	The Separation of Abram from Lot
1	13	14	God's Promise to Abram
1	14	1	Abram Rescues Lot
1	14	17	Abram Refuses the Reward
1	15	1	God Promises Abram an Heir
1	16	1	A Carnal Plan for Children
1	17	1	Establishing the Covenant: Circumcision
1	18	1	Sarah's Faith Is Tried
1	18	16	Abram's Faith Is Tried
1	19	1	The Destruction of Sodom and Gomorrah
1	19	30	Lot's Transgression
1	20	1	The Test of Abimelech
1	21	1	The Birth of Isaac
1	22	1	The Offering of Isaac
1	23	1	The Death of Sarah
1	24	1	Isaac Takes a Wife
1	25	1	The Death of Abraham
1	25	19	The Generations of Isaac
1	26	1	Strife with the People of Gerar
1	26	34	Esau Grieves His Parents
1	27	1	Jacob Takes Esau's Blessing
1	28	10	Jacob's Dream
1	29	1	Jacob's Labors
1	31	1	Jacob's Flight
1	32	1	Jacob Wrestles with the Angel
1	33	1	Jacob Makes Peace with Esau
1	34	1	Dinah Is Defiled
1	35	1	The Altar at Bethel
1	35	16	The Death of Rachel and Isaac
1	36	1	The Generations of Esau
1	37	1	Joseph's Brethren Sin against Him
1	38	1	Joseph's Brethren Sin with the Canaanites
1	39	1	Joseph Is Tempted by Potiphar's Wife
1	40	1	Joseph Interprets Dreams in Prison
1	41	1	Pharaoh Calls Joseph from Prison
1	41	37	Joseph Is Exalted over Egypt
1	42	1	Joseph's Brethren Travel to Egypt
1	43	1	Joseph's Brethren Return to Egypt
1	46	1	Joseph's Family Dwells in Egypt
1	47	27	Jacob Blesses His Children
1	49	33	The Death of Jacob
1	50	15	The Death of Joseph
2	1	1	Israel's Abundant Increase
2	1	8	Israel's Severe Affliction
2	1	15	Pharaoh Plots the Extinction of Israel
2	2	1	Moses is Saved from Murder
2	2	11	Moses Smites an Egyptian
2	2	23	Israel Cries Out to God
2	3	1	God Appears Miraculously to Moses
2	3	7	God Commands Moses to Lead Israel
2	3	11	Who am I?
2	3	13	What Is His Name?
2	4	1	They Will Not Believe Me
2	4	10	I Am Slow of Speech
2	4	18	Moses Returns to Egypt
2	4	24	Moses Reinstitutes Circumcision
2	4	27	Israel Accepts Moses as Deliverer
2	5	1	Pharaoh Rejects Moses
2	5	15	Israel Rejects Moses
2	5	22	Why Is it that Thou Hast Sent Me?
2	6	1	God Comforts Moses
2	6	9	Moses Speaks to Israel
2	6	10	God's Charge to Moses and Aaron
2	6	28	Moses Objects
2	7	1	God Comforts Moses
2	7	8	Aaron's Rod Swallows Pharaoh's Rods
2	7	14	The First Plague: Blood
2	8	1	The Second Plague: Frogs
2	8	16	The Third Plague: Lice
2	8	20	The Fourth Plague: Flies
2	9	1	The Fifth Plague: A Pestilence upon Beasts
2	9	8	The Sixth Plague: Boils on Man and Beast
2	9	13	The Seventh Plague: Hail
2	10	1	The Eighth Plague: Locusts
2	10	21	The Ninth Plague: Darkness
2	11	1	The Tenth Plague: Death of the Firstborn
2	12	1	Commandments Concerning the Passover
2	12	21	Performing the Passover
2	12	29	Redemption through the Passover
2	12	37	The Passover Brings Freedom
2	13	1	Israel Sanctified through the Passover
2	13	17	God Leads Israel
2	14	3	Pharaoh Pursues Israel
2	14	10	Israel Rebels against God
2	14	13	God Divides the Red Sea
2	15	1	Israel Praises God
2	15	22	Preserved from Thirst
2	16	1	Preserved from Hunger
2	17	1	Preserved from Thirst a Second Time
2	17	8	Preserved from Defeat
2	18	1	Preserved from Disorder
2	19	1	Location of the Giving of the Covenant
2	19	3	The Purpose of the Covenant
2	19	7	Israel Accepts the Covenant
2	19	9	The Israelites Sanctify Themselves
2	20	1	Commandments Regarding God
2	20	12	Commandments Regarding Mankind
2	20	18	The Response of Israel
2	20	22	A Provision for Approaching God
2	21	1	The Rights of Persons
2	21	33	The Rights of Property
2	22	16	Proper Conduct
2	23	1	Proper Justice
2	23	10	A Year of Rest
2	23	14	Three Feasts of Israel
2	23	20	Conduct Toward Enemies
2	24	1	The Covenant Is Sealed through Blood
2	24	9	The God of the Covenant Is Revealed
2	24	12	The Revelation Is Given on Mount Sinai
2	25	1	The Offering for the Tabernacle
2	25	8	The Purpose of the Tabernacle
2	25	10	The Ark of the Covenant
2	25	23	The Table of Shewbread
2	25	31	The Golden Candlestick
2	26	1	The Curtains of Linen
2	26	15	The Boards and Sockets
2	26	31	The Inner Veil
2	26	36	The Outer Veil
2	27	1	The Brass Altar
2	27	9	The Court of the Tabernacle
2	27	20	The Oil for the Lamp
2	28	1	The Command to Make the Priest's Garments
2	28	6	The Ephod
2	28	15	The Breastplate
2	28	30	The Urim and Thummim
2	28	31	The Robe of the Ephod
2	28	36	The Holy Crown
2	28	39	The Priest's Coats
2	29	1	The Hallowing of the Priests
2	29	38	The Continual Offering of the Priests
2	30	1	The Altar of Incense
2	30	11	The Ransom Money
2	30	17	The Laver of Brass
2	30	22	The Anointing Oil
2	30	34	The Incense
2	31	1	Instructions for Building the Tabernacle
2	31	12	Sign of the Covenant: the Sabbath
2	31	18	The Two Tables Are Given
2	32	1	Israel Willfully Breaks the Covenant
2	32	7	God Desires to Destroy Israel
2	32	11	Moses Intercedes for Israel
2	32	15	Moses Disciplines Israel
2	32	30	Moses Makes Atonement for Israel
2	32	34	God Sends His Angel
2	33	1	The Tabernacle Is Pitched Outside The Camp
2	33	8	Moses Speaks with God
2	33	12	God Will Show Moses the Way
2	33	18	God Shows Moses His Glory
2	34	1	The Hewing of the Two Tables
2	34	5	The Nature of God Is Revealed
2	34	10	The Renewal of the Covenant
2	34	29	Moses Comes Down from the Mount
2	35	1	Israel Brings Offerings in Abundance
2	36	8	The Curtains
2	36	20	The Boards
2	36	35	The Veils
2	37	1	The Ark of the Covenant
2	37	10	The Table of Shewbread
2	37	17	The Golden Candlestick
2	37	25	The Altar of Incense
2	38	1	The Altar of Burnt Offerings
2	38	8	The Laver of Brass
2	38	9	The Court
2	38	21	The Sum of the Materials
2	39	1	The Garments for the Priests
2	39	32	Moses Looks upon the Tabernacle
2	40	1	The Tabernacle Is Reared Up
2	40	34	God Fills the Tabernacle with His Glory
3	1	1	The Burnt Offering
3	2	1	The Meat Offering
3	3	1	The Peace Offering
3	4	1	The Sin Offering
3	5	14	The Trespass Offering
3	6	8	The Burnt Offering
3	6	14	The Meat Offering
3	6	24	The Sin Offering
3	7	1	The Trespass Offering
3	7	11	The Peace Offering
3	7	37	The Summary of the Offerings
3	8	1	Consecration Commanded by God
3	8	6	Cleansing the Priests with Water
3	8	7	The Priest's Garments
3	8	10	Anointing with Oil
3	8	14	Consecrating with Blood
3	8	31	The Priests Remain in the Tabernacle
3	9	1	Offerings for the Priest
3	9	15	Offerings for the People
3	9	22	The Lord Accepts the Offering
3	10	1	The Sin of Nadab and Abihu
3	10	12	The Sin of Eleazar and Ithamar
3	11	1	Animals of the Earth
3	11	9	Living Things in the Waters
3	11	13	Birds of the Air
3	11	20	Flying and Creeping Things
3	11	24	The Carcasses of the Unclean Animals
3	11	29	Creeping Things
3	11	39	The Carcasses of the Clean Animals
3	11	41	The Purpose of the Dietary Laws
3	12	1	Laws Concerning Childbirth
3	13	1	Examination of People
