Genesis	Ge	1	1	1	起初，　神创造天地。
Genesis	Ge	1	1	2	地是空虚混沌，渊面黑暗；　神的灵运行在水面上。
Genesis	Ge	1	1	3	　神说：「要有光」，就有了光。
Genesis	Ge	1	1	4	　神看光是好的，就把光暗分开了。
Genesis	Ge	1	1	5	　神称光为「昼」，称暗为「夜」。有晚上，有早晨，这是头一日。
Genesis	Ge	1	1	6	　神说：「诸水之间要有空气，将水分为上下。」
Genesis	Ge	1	1	7	　神就造出空气，将空气以下的水、空气以上的水分开了。事就这样成了。
Genesis	Ge	1	1	8	　神称空气为「天」。有晚上，有早晨，是第二日。
Genesis	Ge	1	1	9	　神说：「天下的水要聚在一处，使旱地露出来。」事就这样成了。
Genesis	Ge	1	1	10	　神称旱地为「地」，称水的聚处为「海」。　神看著是好的。
Genesis	Ge	1	1	11	　神说：「地要发生青草和结种子的菜蔬，并结果子的树木，各从其类，果子都包著核。」事就这样成了。
Genesis	Ge	1	1	12	于是地发生了青草和结种子的菜蔬，各从其类；并结果子的树木，各从其类；果子都包著核。　神看著是好的。
Genesis	Ge	1	1	13	有晚上，有早晨，是第三日。
Genesis	Ge	1	1	14	　神说：「天上要有光体，可以分昼夜，作记号，定节令、日子、年岁，
Genesis	Ge	1	1	15	并要发光在天空，普照在地上。」事就这样成了。
Genesis	Ge	1	1	16	于是　神造了两个大光，大的管昼，小的管夜，又造众星，
Genesis	Ge	1	1	17	就把这些光摆列在天空，普照在地上，
Genesis	Ge	1	1	18	管理昼夜，分别明暗。　神看著是好的。
Genesis	Ge	1	1	19	有晚上，有早晨，是第四日。
Genesis	Ge	1	1	20	　神说：「水要多多滋生有生命的物；要有雀鸟飞在地面以上，天空之中（原文作天空的表面）。」
Genesis	Ge	1	1	21	　神就造出大鱼和水中所滋生各样有生命的动物，各从其类；又造出各样飞鸟，各从其类。　神看著是好的。
Genesis	Ge	1	1	22	　神就赐福给这一切，说：「滋生繁多，充满海中的水；雀鸟也要多生在地上。」
Genesis	Ge	1	1	23	有晚上，有早晨，是第五日。
Genesis	Ge	1	1	24	　神说：「地要生出活物来，各从其类；牲畜、昆虫、野兽，各从其类。」事就这样成了。
Genesis	Ge	1	1	25	于是　神造出野兽，各从其类；牲畜，各从其类；地上一切昆虫，各从其类。　神看著是好的。
Genesis	Ge	1	1	26	　神说：「我们要照著我们的形像、按著我们的样式造人，使他们管理海里的鱼、空中的鸟、地上的牲畜，和全地，并地上所爬的一切昆虫。」
Genesis	Ge	1	1	27	　神就照著自己的形像造人，乃是照著他的形像造男造女。
Genesis	Ge	1	1	28	　神就赐福给他们，又对他们 <
Genesis	Ge	1	1	29	　神说：「看哪，我将遍地上一切结种子的菜蔬和一切树上 <H>所结有核的果子全赐给你们 <H>作食物。
Genesis	Ge	1	1	30	至于地上的走兽和空中的飞鸟，并各样爬在地上有生命的物，我将青草赐给牠们作食物。」事就这样成了。
Genesis	Ge	1	1	31	　神看著一切所造的都甚好。有晚上，有早晨，是第六日。  
Genesis	Ge	1	2	1	天地万物都造齐了。
Genesis	Ge	1	2	2	到第七日，　神造物的工已经完毕，就在第七日歇了他一切的工，安息了。
Genesis	Ge	1	2	3	　神赐福给第七日，定为圣日；因为在这日 <H>，　神歇了他一切创造的工，就安息了。
Genesis	Ge	1	2	4	创造天地的来历，在耶和华　神造天地的日子，乃是这样，
Genesis	Ge	1	2	5	野地还没有草木，田间的菜蔬还没有长起来；因为耶和华　神还没有降雨在地上，也没有人耕地，
Genesis	Ge	1	2	6	但有雾气从地上腾，滋润遍地。
Genesis	Ge	1	2	7	耶和华　神用地上的尘土造人，将生气吹在他鼻孔里，他就成了有灵的活人，名叫亚当。
Genesis	Ge	1	2	8	耶和华　神在东方的伊甸立了一个园子，把所造的人安置在那里。
Genesis	Ge	1	2	9	耶和华　神使各样的树从地里长出来，可以悦人的眼目，其上的果子好作食物。园子当中又有生命树和分别善恶的树。
Genesis	Ge	1	2	10	有河从伊甸流出来，滋润那园子，从那里分为四道：
Genesis	Ge	1	2	11	第一道名叫比逊，就是环绕哈腓拉全地的。在那里有金子，
Genesis	Ge	1	2	12	并且那地的金子是好的；在那里又有珍珠和红玛瑙。
Genesis	Ge	1	2	13	第二道河名叫基训，就是环绕古实全地的。
Genesis	Ge	1	2	14	第三道河名叫底格里斯，流在亚述的东边。第四道河就是幼发拉底河。
Genesis	Ge	1	2	15	耶和华　神将那人安置在伊甸园，使他修理，看守。
Genesis	Ge	1	2	16	耶和华　神吩咐他说：「园中各样树上的果子，你可以随意吃，
Genesis	Ge	1	2	17	只是分别善恶树上的果子，你不可吃，因为你吃的日子必定死！」
Genesis	Ge	1	2	18	耶和华　神说：「那人独居不好，我要为他 <H>造一个配偶帮助他。」
Genesis	Ge	1	2	19	耶和华　神用土所造成的野地各样走兽和空中各样飞鸟都带到那人面前，看他叫什么。那人怎样叫各样的活物，那就是牠的名字。
Genesis	Ge	1	2	20	那人便给一切牲畜和空中飞鸟、野地走兽都起了名；只是那人没有遇见配偶帮助他。
Genesis	Ge	1	2	21	耶和华　神使他沉睡，他就睡了；于是取下他的一条肋骨，又把肉合起来。
